Name,Overall_Rating,Food_Rating,Service_Rating,Ambience_Rating,Dined_Date,Reviews
Mila,5,5,5,5,2024-12-05,"My husband and I celebrated our anniversary here and our server was very attentive, informative and pleasant, overall great service and was happy with our experience. Food is amazing as always and the experience was very nice, props to the chefs and service staff"
Jena,5,5,5,4,2024-11-30,"Fantastic service and food.  Great dinner, but noise level is high."
Claire,4,3,5,5,2024-11-30,"A great place to have a birthday! Thank you, I will be returning. The food was good, the overall vibe of the restaurant was good. Our server was excellent."
Chris,3,3,4,3,2024-11-28,"Very loud, drinks and service were great, food was good to average but so not worth the price vs. what you can get elsewhere.  This is the 3rd try over the past 3 yrs and it continues to validate our assessment that price are 2x the value.  It's over-rated and just good not great."
Debra,5,5,5,5,2024-11-26,We live Carmines! Always delicious and wonderful waitstaff!!!!
Sam,4,5,5,3,2024-11-23,"ALEX was incredible! He was very cordial, professional, debonair, knowledgeable, helpful, and truly caring about our experience!"
Emmy,5,5,5,5,2024-11-21,Amazing as always!!! Sat in the bar tonight and had great service!
Jennifer,5,5,5,5,2024-11-20,Our first time visiting Carmines. Food was delicious and service was amazing! Definitely would be back again.
Susan,5,5,5,5,2024-11-20,Great patio ceiling heaters.  Loved the quiet garden atmosphere on the patio.  Halibut was delicious.
OpenTable Diner,4,5,5,4,2024-11-17,"great food and great service! Only critique is that tables are very close together which causes noise volume to be loud- especially when my two top is sat between two large 5+ seat tables.
Will definitely be back!"
Angela,5,5,5,5,2024-11-15,Fantastic service.  Delicious food.  Wonderful surroundings.  Perfection!
karan,5,5,5,5,2024-11-13,Again always great food and service. Hooked on meatballs. Best place to enjoy a casual long lunch
Regan,5,5,5,5,2024-11-10,"It was a lovely meal, with excellent service.  We will be back."
Steve,5,5,5,5,2024-11-08,Carmines is one of our favorite restaurants.  The food is always great.  The staff is wonderful.  We always enjoy our time there.  We will be back in a few weeks.  Highly recommend it.
Bill,5,5,5,5,2024-11-06,"We had an excellent lunch today and we brought in an old California Cabernet Sauvignon.  They immediately offer to decant it for us and of course we shared a glass of the wine with the waitperson.   Food and service were terrific, and we are looking forward to our next visit."
Al,4,5,4,5,2024-11-03,"My first time here. Food, atmosphere and bar experience was great. What wasn’t so great was our experience with our waitor. Did not make us feel welcome and made us feel rushed. Without introduction or summarizing the specials, he just said “are you ready to order?”
Because we didnt want to reward bad behavior with our tip, we requested a new waitor and she was wonderful! Without telling her of our experience she gave an introduction, summarized the specials, and gave us her recommendations. Overall good. Because everyone other than the first waitor was great, it’s not a reflection of the establishment. Will return again."
Craig,4,5,5,4,2024-11-03,Food and service were excellent.  Noise level was super high and lighting was very low to the point that one of us had trouble reading his menu and seeing his food ( does have vision problems).
Eddie,5,5,5,5,2024-11-02,Fantastic service and good as always. Thank you Carmines
Melody,5,5,4,5,2024-11-02,"Go hungry and be prepared for a fabulous meal! The Caprese, Caesar, Linguini Vongole, and Salmon pasta dishes were exceptional as was the fresh warm bread basket. The wine was also very good. We had a great bottle during our previous visit however this time, we only wanted a glass to accompany our meal. Since the wine could only be purchased by the bottle, our server brought us a couple of samples to try. Kudos for going the extra mile! He described it as local and fairly priced. Our mistake because we didn’t ask the price…yikes…it was $25/ glass. Wont be doing that again!"
Monique,5,5,5,5,2024-09-26,"Celebrated my mom’s 66th birthday at Carmines with our toddler in tow. Carmine’s host seated us promptly and our server couldn’t have been nicer and more accommodating. Each item we ordered was brought out in a timely manner, beautiful presentation and tasted delicious. Standouts for us were the Caesar salad, gambaroni and cioppino. Can’t go wrong with tiramisu for dessert."
Jamie,5,5,5,5,2024-09-26,Amazing as always! The gnocchi is the best ever! I wish I could come here every day.
Stephanie,5,5,5,5,2024-09-22,"Tremendous experience. We came to celebrate my mom’s birthday and had an amazing time from start to finish. Everyone was very accommodating, friendly, and we can’t wait to come back!

Items ordered:
-Prosciutto con melone (appetizer)
-Extra dirty grey goose martini with blue cheese olives. If you love blue cheese like I do, these are a must!
- Risotto Tiberio. Ive had this here before and it was so amazing. Perfectly cheesy and fluffy with generous servings of seafood.
- Crab Rigatoni - so creamy and the crab was just perfection.
- Spaghetti di finochio + meatball. Trust me the meatball is worth it! It’s stuffed with cheese and just so good. That you can get a la carte! The spaghetti was so good with a delicious creamy pesto.
- Tiramisu and Bourbon Bread pudding were also amazing!"
ADRIANN,5,5,5,5,2024-09-20,"Beautiful ambiance, great service. Does time there for anniversary and they treated us well!"
Linh,5,5,5,4,2024-09-16,The sautéed squid appetizer was so well balanced and flavorful.
Teresa,5,5,5,5,2024-09-11,"Wonderful food and service.  Always friendly, knowledgeable people.  These servers are top notch!"
Jeri,5,5,5,5,2024-09-11,We have eaten at Carmines multiple time’s.   Each and every time has been a fantastic experience.  Our server Matthew was absolutely fantastic last night.  Could not have had a better dinner.  Thank you so much.
YongChul,5,5,5,5,2024-09-11,"It was a fantastic lunch. Filet mignon came with the daily special salad was out of heaven. Cod chowder and ragu with rigatoni were very hearty. The server was attentive and helpful. Somewhat unimpressed were NA cocktail berry spritz and NY steak which I had to put more salt to taste.

Overall a very good experience. I am very happy that I finally tried Carmine's today and will definitely revisit soon."
S. Rogers,5,5,4,4,2024-09-08,Carmine’s continues to be THE EXAMPLE of how to EXCEED EXPECTATIONS!!!! Been a devout patron for years.  Never disappointed!!!!
Melody,5,5,5,5,2024-09-07,"Exceptional experience! We dined on the well landscaped patio which provided privacy despite being busy.  Jeff was our server & he provided helpful suggestions especially since it was our first visit to Carmines.  Our meal was fresh and beautifully presented. Each course from the wine, caprese & Caesar salads, halibut,linguini vongole, and desserts was just perfect! We look forward to returning another day."
OpenTable Diner,5,5,5,5,2024-09-06,"Always excellent, Roberto runs a tight and excellent ship! Carl B"
Kristi,5,5,5,2,2024-09-06,"It was a very hot day in the PNW (90degrees) and the restaurant had their doors open. If the air conditioning was on it wasn’t keeping up. It just made things uncomfortable. The food and service was amazing, it was just very hot!"
Scot,5,5,5,5,2024-08-31,Carmine’s is exceptional. A classic with modern edge in the heart of Bellevue. Love sitting at the sidewalk corner table and watching all the action with tasty bits and drinks. Tremendous favorite for  lunch.
Anne,5,5,5,5,2024-08-29,There staff was amazing. We don't live here but I'd come back for sure when we visit again. Perfect risotto. Amazing halibut
Beverly,5,5,5,5,2024-08-28,"Our waiter was fabulous. He was extremely attentive and had great suggestions for what we might like. It was a delicious meal with impeccable service as always, and a wonderful atmosphere."
Tamikah,5,5,5,5,2024-08-25,The evening was great!! Our server was knowledgeable of the menus and the specials. She was very attentive and well informed. The food and atmosphere was phenomenal! My husband and I will definitely be dining at Carmine’s again.
OpenTable Diner,5,5,5,5,2024-08-24,Celebrated anniversary
Ania,5,5,5,5,2024-08-24,The best the best the best the best the best the best the best the best!!!!!!!!!!!
