,Name,Overall_Rating,Food_Rating,Service_Rating,Ambience_Rating,Dined_Date,Reviews
0,Mila,5,5,5,5,ays ago,"My husband and I celebrated our anniversary here and our server was very attentive, informative and pleasant, overall great service and was happy with our experience. Food is amazing as always and the experience was very nice, props to the chefs and service staff"
1,Jena,5,5,5,4,45626,"Fantastic service and food.  Great dinner, but noise level is high."
2,Claire,4,3,5,5,45626,"A great place to have a birthday! Thank you, I will be returning. The food was good, the overall vibe of the restaurant was good. Our server was excellent."
3,Chris,3,3,4,3,45624,"Very loud, drinks and service were great, food was good to average but so not worth the price vs. what you can get elsewhere.  This is the 3rd try over the past 3 yrs and it continues to validate our assessment that price are 2x the value.  It's over-rated and just good not great."
4,Debra,5,5,5,5,45622,We live Carmines! Always delicious and wonderful waitstaff!!!!
5,Sam,4,5,5,3,45619,"ALEX was incredible! He was very cordial, professional, debonair, knowledgeable, helpful, and truly caring about our experience!"
6,Emmy,5,5,5,5,45617,Amazing as always!!! Sat in the bar tonight and had great service!
7,Jennifer,5,5,5,5,45616,Our first time visiting Carmines. Food was delicious and service was amazing! Definitely would be back again.
8,Susan,5,5,5,5,45616,Great patio ceiling heaters.  Loved the quiet garden atmosphere on the patio.  Halibut was delicious.
9,OpenTable Diner,4,5,5,4,45613,"great food and great service! Only critique is that tables are very close together which causes noise volume to be loud- especially when my two top is sat between two large 5+ seat tables.
Will definitely be back!"
10,Angela,5,5,5,5,45611,Fantastic service.  Delicious food.  Wonderful surroundings.  Perfection!
11,karan,5,5,5,5,45609,Again always great food and service. Hooked on meatballs. Best place to enjoy a casual long lunch
12,Regan,5,5,5,5,45606,"It was a lovely meal, with excellent service.  We will be back."
13,Steve,5,5,5,5,45604,Carmines is one of our favorite restaurants.  The food is always great.  The staff is wonderful.  We always enjoy our time there.  We will be back in a few weeks.  Highly recommend it.
14,Bill,5,5,5,5,45602,"We had an excellent lunch today and we brought in an old California Cabernet Sauvignon.  They immediately offer to decant it for us and of course we shared a glass of the wine with the waitperson.   Food and service were terrific, and we are looking forward to our next visit."
15,Al,4,5,4,5,45599,"My first time here. Food, atmosphere and bar experience was great. What wasn’t so great was our experience with our waitor. Did not make us feel welcome and made us feel rushed. Without introduction or summarizing the specials, he just said “are you ready to order?”
Because we didnt want to reward bad behavior with our tip, we requested a new waitor and she was wonderful! Without telling her of our experience she gave an introduction, summarized the specials, and gave us her recommendations. Overall good. Because everyone other than the first waitor was great, it’s not a reflection of the establishment. Will return again."
16,Craig,4,5,5,4,45599,Food and service were excellent.  Noise level was super high and lighting was very low to the point that one of us had trouble reading his menu and seeing his food ( does have vision problems).
17,Eddie,5,5,5,5,45598,Fantastic service and good as always. Thank you Carmines
18,Melody,5,5,4,5,45598,"Go hungry and be prepared for a fabulous meal! The Caprese, Caesar, Linguini Vongole, and Salmon pasta dishes were exceptional as was the fresh warm bread basket. The wine was also very good. We had a great bottle during our previous visit however this time, we only wanted a glass to accompany our meal. Since the wine could only be purchased by the bottle, our server brought us a couple of samples to try. Kudos for going the extra mile! He described it as local and fairly priced. Our mistake because we didn’t ask the price…yikes…it was $25/ glass. Wont be doing that again!"
19,Matt,5,5,5,5,45595,Once again the whole team at Carmine’s treated us to an amazing dining experience. Thank you for consistently delivering such a wonderful evening out for my wife and me. Carmine’s is just the best place to dine on the Eastside.
20,Debbie,5,5,3,5,45595,"Carmine’s is our go-to spot for consistently delicious food and a warm, inviting atmosphere. While it was a bit louder than usual last night, the ambiance still offered the perfect blend of liveliness and table intimacy. Our server quickly resolved an order mistake made for our child with allergies, which we appreciated. Celebrating birthdays here has become a cherished tradition for us, and Carmine’s never disappoints."
21,Todd,5,5,5,5,45594,One of the best overall dining experiences in years. Thank you!
22,Jill,3,3,4,5,45594,"It’s a beautiful restaurant with professional service, but our Osso Bucco was really tough and the sauce wasn’t very good. It was served with some delicious roasted vegetables and a very plain side of fettuccine."
23,Ross,5,5,5,5,45592,"Our 35th anniversary dinner was awesome. The noise level was better than downtown. Service was great, food exquisite, as normal."
24,Nate,5,5,4,5,45591,The lobster was incredible. Excellent service and great atmosphere.
25,Neil,5,5,5,5,45590,"Excellent food, great service, perfect place for a birthday celebration!"
26,cy,5,5,5,5,45589,Terrific!  Beautiful and delicious food. Great service!
27,Arman,5,5,5,5,45589,"Outstanding, definitely recommend their specials an dessert"
28,Jessica,5,5,5,5,45586,"Our server Jeff was attentive, charming, and have a great sense of humor.  The food, as always, was amazing."
29,Ania,5,5,5,5,45582,Love love love! The service and dinner were exquisite. What a treat to come to Carmine’s! I heard they’re opening a location downtown next summer! Will definitely be checking it out.
30,Scott,5,5,5,5,45578,"Fabulous birthday dinner at Carmine’s. Food, service, and ambience were all outstanding. Lobster pasta special and Rib Eye special were stand outs! Thank you!"
31,pepper,5,5,5,5,45575,"we had a great professional waiter and perfect pasta, a great dessert and really as always enjoyed Carmen‘s food, professionalism, and ambience"
32,Deepanjali,5,5,5,5,45575,The food was great especially the linguini with clams.
33,karan,5,5,5,5,45573,They are always consistent with their food which is delicious.  Service A-1
34,Hugh,5,5,5,5,45568,Terrific service and food .  Nice ambiance but loud.
35,Erika,5,5,5,5,45567,"Excellent service, delicious food, and excellent option to celebrate anything"
36,OpenTable Diner,5,5,5,5,45566,Our waiter Massimo was amazing and made our anniversary feel so special! The food was perfect and we left very full!
37,OpenTable Diner,5,5,5,5,45563,"Fantastic service. We love our waiter, second time he served us, always fun, engaging, personable. Can’t remember his name now, from Mexico"
38,Sherrie,5,5,5,5,45562,"Incredible meal, best chopping we’ve ever had, and the halibut was fabulous. Service was attentive and not overwhelming, and they gave us a little treat to celebrate our anniversary. Everything a restaurant should be!"
39,Monique,5,5,5,5,45561,"Celebrated my mom’s 66th birthday at Carmines with our toddler in tow. Carmine’s host seated us promptly and our server couldn’t have been nicer and more accommodating. Each item we ordered was brought out in a timely manner, beautiful presentation and tasted delicious. Standouts for us were the Caesar salad, gambaroni and cioppino. Can’t go wrong with tiramisu for dessert."
40,Jamie,5,5,5,5,45561,Amazing as always! The gnocchi is the best ever! I wish I could come here every day.
41,Stephanie,5,5,5,5,45557,"Tremendous experience. We came to celebrate my mom’s birthday and had an amazing time from start to finish. Everyone was very accommodating, friendly, and we can’t wait to come back!

Items ordered:
-Prosciutto con melone (appetizer)
-Extra dirty grey goose martini with blue cheese olives. If you love blue cheese like I do, these are a must!
- Risotto Tiberio. Ive had this here before and it was so amazing. Perfectly cheesy and fluffy with generous servings of seafood.
- Crab Rigatoni - so creamy and the crab was just perfection.
- Spaghetti di finochio + meatball. Trust me the meatball is worth it! It’s stuffed with cheese and just so good. That you can get a la carte! The spaghetti was so good with a delicious creamy pesto.
- Tiramisu and Bourbon Bread pudding were also amazing!"
42,ADRIANN,5,5,5,5,45555,"Beautiful ambiance, great service. Does time there for anniversary and they treated us well!"
43,Linh,5,5,5,4,45551,The sautéed squid appetizer was so well balanced and flavorful.
44,Teresa,5,5,5,5,45546,"Wonderful food and service.  Always friendly, knowledgeable people.  These servers are top notch!"
45,Jeri,5,5,5,5,45546,We have eaten at Carmines multiple time’s.   Each and every time has been a fantastic experience.  Our server Matthew was absolutely fantastic last night.  Could not have had a better dinner.  Thank you so much.
46,YongChul,5,5,5,5,45546,"It was a fantastic lunch. Filet mignon came with the daily special salad was out of heaven. Cod chowder and ragu with rigatoni were very hearty. The server was attentive and helpful. Somewhat unimpressed were NA cocktail berry spritz and NY steak which I had to put more salt to taste.

Overall a very good experience. I am very happy that I finally tried Carmine's today and will definitely revisit soon."
47,S. Rogers,5,5,4,4,45543,Carmine’s continues to be THE EXAMPLE of how to EXCEED EXPECTATIONS!!!! Been a devout patron for years.  Never disappointed!!!!
48,Melody,5,5,5,5,45542,"Exceptional experience! We dined on the well landscaped patio which provided privacy despite being busy.  Jeff was our server & he provided helpful suggestions especially since it was our first visit to Carmines.  Our meal was fresh and beautifully presented. Each course from the wine, caprese & Caesar salads, halibut,linguini vongole, and desserts was just perfect! We look forward to returning another day."
49,OpenTable Diner,5,5,5,5,45541,"Always excellent, Roberto runs a tight and excellent ship! Carl B"
50,Kristi,5,5,5,2,45541,"It was a very hot day in the PNW (90degrees) and the restaurant had their doors open. If the air conditioning was on it wasn’t keeping up. It just made things uncomfortable. The food and service was amazing, it was just very hot!"
51,Scot,5,5,5,5,45535,Carmine’s is exceptional. A classic with modern edge in the heart of Bellevue. Love sitting at the sidewalk corner table and watching all the action with tasty bits and drinks. Tremendous favorite for  lunch.
52,Anne,5,5,5,5,45533,There staff was amazing. We don't live here but I'd come back for sure when we visit again. Perfect risotto. Amazing halibut
53,Beverly,5,5,5,5,45532,"Our waiter was fabulous. He was extremely attentive and had great suggestions for what we might like. It was a delicious meal with impeccable service as always, and a wonderful atmosphere."
54,Tamikah,5,5,5,5,45529,The evening was great!! Our server was knowledgeable of the menus and the specials. She was very attentive and well informed. The food and atmosphere was phenomenal! My husband and I will definitely be dining at Carmine’s again.
55,OpenTable Diner,5,5,5,5,45528,Celebrated anniversary
56,Ania,5,5,5,5,45528,The best the best the best the best the best the best the best the best!!!!!!!!!!!
57,Jennifer,3,3,3,4,45527,"Lunch for my friend's birthday with her elderly mother from out-of-town. Expectations were high based on past dining experiences. We had La CapreseBuffala mozzarella for appetizer, tomatoes were heirloom quality, their house bread (with the perfect chew factor IMO) was offered multiple times,  although I wished it was warmed, the butter was soft; the best part of lunch was the d Cream of cauliflower Gratinée, delicious, flavorful, rich, but not overly so. Entrees were Clam Linguine, with a generous portion of clams, Caesar Salad, nicely prepared and Spaghetti Ortolano, was lackluster, I think they forgot to toss in the olive oil.  The two desserts were both worth every bite: tiramisu (in fact I took an additional slice home) and lemon meringue was Instagram worthy. 

Lunch is not usually the best showing for any fine restaurant and that needs to be taken into consideration. The restaurant itself is impeccably cared for, clean, bright, beautiful. The experience was not as hoped for, no mention of celebrating a special occasion, even though I had noted it. I will say the owner called me after I left a note about the experience and I do believe this less than 5 star experience was an anomaly. I will go back and still cannot think of another restaurant in Seattle that I'd rather have a special meal."
58,OpenTable Diner,5,5,5,5,45526,We celebrated our Anniversary. Carmine’s was a great choice!
59,OpenTable Diner,5,5,5,5,45526,"I highly recommend this establishment, everything is very tasty and beautiful"
60,Ania,5,5,5,5,45526,Exquisite experience. I heard they’re opening a new downtown Seattle location on 5th and Pike. Can’t wait for that.
61,Susie,5,5,5,5,45524,Oh my God Carmine’s is always so noisy when it’s full of fabulous people. Our waitress Kat was amazing super sweet food was delicious as always.
62,Jeffrey,5,5,5,5,45524,"Carmines in Bellevue is excellent.  We had a dinner reservation just as they opened for dinner.  They grew very busy throughout our dinner, but service did not diminish.  Food and beverage was excellent, aw was location and price. We were there for our anniversary, but will return before the next one."
63,Dee,5,5,5,5,45522,"We came here for my friends bachelorette party…
SERVICE: Impeccable. They were able to change my reservation and squeeze us in at an earlier time. They had a congratulations card waiting for her at the table. The staff were all congratulating her throughout the night. And they brought her a complimentary piece of tiramisu cake with Congratulations written in cursive with chocolate 
FOOD: Delectable. Their pastas were delicious and the dessert 10/10. I had the pesto fettuccini with prawns and devoured my meal
AMBIENCE: Romantically Elegant. I recommend this for dates, celebrations, special occasions, birthdays. Candle and fresh flowers at the tables."
64,karan,5,5,5,5,45520,Always great food and service they cannot do enough for you
65,RebeccaS,5,5,5,5,45515,"The ambiance was beautiful, the service first class and food was delicious with reasonably priced dishes for a special night out."
66,Brent,5,5,5,5,45514,Super great waiter. Food was outstanding. Great experience overall!
67,Lynn,4,5,5,4,45514,Carmines delivers an elegant setting with wonderful service! I love the daily fresh specials that are recommended by the waiters. The homemade dessert selection was amazing as are the wine pairings.
68,Michael,5,5,5,5,45513,"Outstanding service and food.  Very pricey, however, it was a special occasion."
69,Cathy,5,5,5,4,45510,Carmine’s is first class dining all the way.  Our server was outstanding…the food was amazing.  However…sitting inside is LOUD.  And I’d love a hint on how to reserve a good table on a Monday evening — in the notes I wrote this was a BIG birthday for me and the first table we were shown was marginal at best in a walk way…we settled on a table still in a walk way and servers without apology kept bumping into my chair….sigh.
70,JeanneB,5,5,5,5,45507,"Dinner was superb ! Absolute perfection from start to finish. What a wonderful way to celebrate my birthday!
Thank you Steven for being such an attentive and professional wait person."
71,Teresa,4,5,5,3,45507,"Excellent food and good service.  However - don’t go if it’s a hot day in Bellevue. Inside the dining room was so uncomfortably hot, it took away our appetite.  (Apparently they have no AC.).  Typically at this restaurant, we give all 5 star reviews.  This was definitely NOT our normal experience at Carmine’s."
72,Steve,3,3,3,4,45507,"A frequent diner at Carmines. This trip was really average.  Felt like server was in a big hurry, gluten free pasta not good.  Super Tuscan wine was outstanding.  Felt very overpriced for the quality of the meal."
73,OpenTable Diner,5,5,5,5,45507,"The service, quality of the food, thoughtful preparation and taste were exceptional.  Our server, Alberto G, made our day even more special with amazing service and a great personality."
74,MeganD,5,5,5,5,45503,"Dinner was lovely and our entire experience was fabulous. We had the cioppino, veal scallopine, lobster special and the rigatoni bolognese and all were excellent. Service was also superb led by Matthew!  Thanks to the entire team at Carmine’s for making a special occasion even more remarkable."
75,IvanB,5,5,5,5,45503,Just excellent! You won't be disappointed with a meal here!
76,Lkelly616,5,5,5,5,45499,"Carmine's was excellent as usual!  The ambiance is inviting, the food was delicious and the service
was very attentive!  Went there with 3 friends to celebrate one of their birthdays.  We all enjoyed our meals very much.  The eggplant parmegiana, the salmon special and a shrimp dish were all expertly prepared and presented.  The complementary piece of Tiramisu to celebrate my friend's birthday was a nice gesture too."
77,MarisaB,4,3,5,4,45494,"Could be better.
I guess the restaurant is so famous that is not trying to be better.
Service was good although hostess was on the phone for 3 minutes or more while we were waiting.
Veal meat was not tender, that dish needs to get better."
78,JaiV,5,5,5,5,45493,"It was the perfect setting for a summer birthday celebration for our family.The service was exceptional especially by our server Alexei, and we will definitely be back!"
79,DavidS,5,5,5,4,45493,A bit noisy and proxy but excellent food and service
80,OpenTable Diner,5,5,5,5,45492,"Absolutely amazing, to be honest for the price the atmosphere, location and food it was well worth any check. Would definitely recommend 100% to anyone who loves fine dining and a great atmosphere. Will be going back."
81,ChristineA,4,3,5,3,45490,"Update to my initial review….Roberto from the restaurant followed up from my poor review and experience and expressed that they wanted to make it right.  They credited the meal off my bill and offered a gift card on my next visit.  This was certainly great customer follow thru and they went above and beyond to show they really care. Thank you to Roberto and Carmines on great customer service!

Initial review….I ordered the double bone-in pork chop and it was very dry!  I was very disappointed in the quality."
82,OpenTable Diner,5,5,5,5,45490,Our server Matthew was exceptional.  Everything was top notch.
83,oliver,5,5,5,5,45489,"MY FAVORITE RESTAURANT IN THE UNITED STATES! Seriously, you cannot find better service, better food, better ambience elsewhere. Praise be to this institution."
84,Julia,5,5,5,5,45489,"An amazing experience from the moment you enter through the beautiful patio. We were greeted warmly and seated immediately. Our server was extremely knowledgeable and offered many great suggestions for myself as I am gluten and diary free. 

The decor makes me feel like I am in Italy! Super romantic. Great for a date night or celebrations with friends and family. I noticed a lot of large parties on a Monday evening. Even the bar was packed. Loved my experience here and cannot wait to try out their other restaurants in Seattle. Thank you for making my boyfriend's birthday so special!"
85,OpenTable Diner,5,5,5,5,45489,The best restaurant on the east side. Carmine’s never disappoints. We truly love our dining experience here
86,Mark,4,5,4,4,45489,"The bartender was amiable and immediately inquired whether we wanted just drinks or dinner too. We were waiting for our table so we just had drinks. When we finished them, we returned to the host stand and were promptly seated. The service was good. The food was delicious. I asked the server about a dessert cheese plate I saw online. She confirmed they would be able to accommodate me. We had a melon with prosciutto, salad, soup, lobster risotto instead of crab, cioppino, key lime pie, the cheese plate and then tiramisu with a candle for her birthday."
87,Edward,5,5,5,5,45487,"This is one of our most favorite restaurants, the food and service is always outstanding."
88,OpenTable Diner,5,5,5,5,45487,Carmine’s is my wife and my go to for celebrating special occasion’s.  Everything is always top notch.
89,GregB,5,5,5,5,45486,The service and food was excellent as always. One of the very best restaurants.
90,OpenTable Diner,3,2,3,5,45486,"I invited several friends.  I wasn’t impressed but the special risotto.  It was salty, the meat was tough, and the consistency wasn’t to standard. Very disappointing.  I hardly touched my plate.  The bread is good.  Appetizer shrimp was great.  The rest of the food was an agree."
91,OpenTable Diner,5,5,5,5,45484,Food and service are always impeccable. We will be back.
92,OpenTable Diner,5,5,5,4,45483,I am always pleased with the food and always great service.
